accuracy@3,precision@3,recall@3,F1@3;accuracy
0.9019,0.8101,0.9119,0.8332;0,9019
0.8807,0.8472,0.8687,0.8397;0,8807
0.9013,0.8311,0.8432,0.8356;0,9013
0.9237,0.8905,0.9049,0.8975;0,9237
0.9187,0.8176,0.9179,0.8528;0,9187
0.9206,0.9066,0.8256,0.8539;0,9206
0.8578,0.8056,0.8466,0.8144;0,8578
0.9313,0.8884,0.9168,0.8985;0,9313
0.9197,0.8875,0.896,0.8901;0,9197
0.8902,0.7879,0.8703,0.8174;0,8902
0.8832,0.8371,0.7936,0.811;0,8832
0.8991,0.8391,0.8747,0.855;0,8991
0.9442,0.9045,0.9168,0.9087;0,9442
0.9076,0.855,0.8927,0.8717;0,9076
0.9228,0.8887,0.8833,0.8847;0,9228
