file,class,groupid
rack_1_vial_11__soybean_4.40_water_15.95_span80_1.157_tween80_0.493_loop0_20250815_183525_separationstarted.jpg,separationstarted,soybean_4.40_water_15.95_span80_1.157_tween80_0.493
rack_1_vial_11__soybean_4.40_water_15.95_span80_1.157_tween80_0.493_loop0_20250815_191226_separationstarted.jpg,separationstarted,soybean_4.40_water_15.95_span80_1.157_tween80_0.493
rack_1_vial_11__soybean_4.40_water_15.95_span80_1.157_tween80_0.493_loop0_20250815_195327_separationstarted.jpg,separationstarted,soybean_4.40_water_15.95_span80_1.157_tween80_0.493
rack_1_vial_11__soybean_4.40_water_15.95_span80_1.157_tween80_0.493_loop0_20250815_204325_separationstarted.jpg,separationstarted,soybean_4.40_water_15.95_span80_1.157_tween80_0.493
rack_1_vial_11__soybean_4.40_water_15.95_span80_1.157_tween80_0.493_loop0_20250815_212326_separationstarted.jpg,separationstarted,soybean_4.40_water_15.95_span80_1.157_tween80_0.493
rack_1_vial_1_paraffin20_water75_CaSO43_lecithin2_loop0_20250627_115101_stable.jpg,stable,paraffin20_water75_CaSO43_lecithin2
rack_1_vial_1_paraffin20_water75_CaSO43_lecithin2_loop0_20250627_125100_separated.jpg,separated,paraffin20_water75_CaSO43_lecithin2
rack_1_vial_1_paraffin20_water75_CaSO43_lecithin2_loop0_20250627_155101_separated.jpg,separated,paraffin20_water75_CaSO43_lecithin2
rack_1_vial_1_paraffin20_water75_CaSO43_lecithin2_loop0_20250627_205101_separated.jpg,separated,paraffin20_water75_CaSO43_lecithin2
rack_1_vial_1_paraffin20_water75_CaSO43_lecithin2_loop0_20250628_045105_separated.jpg,separated,paraffin20_water75_CaSO43_lecithin2
rack_1_vial_1_paraffin20_water75_CaSO43_saponin4_loop0_20250630_153107_separated.jpg,separated,paraffin20_water75_CaSO43_saponin4
rack_1_vial_1_paraffin20_water75_CaSO43_saponin4_loop0_20250630_163107_separated.jpg,separated,paraffin20_water75_CaSO43_saponin4
rack_1_vial_1_paraffin20_water75_CaSO43_saponin4_loop0_20250630_193106_separated.jpg,separated,paraffin20_water75_CaSO43_saponin4
rack_1_vial_1_paraffin20_water75_CaSO43_saponin4_loop0_20250701_003101_separated.jpg,separated,paraffin20_water75_CaSO43_saponin4
rack_1_vial_1_paraffin20_water75_CaSO43_saponin4_loop0_20250701_083105_separated.jpg,separated,paraffin20_water75_CaSO43_saponin4
rack_1_vial_1_paraffin20_water75_ZnSO43_lecithin2_loop0_20250624_135100_stable.jpg,stable,paraffin20_water75_ZnSO43_lecithin2
rack_1_vial_1_paraffin20_water75_ZnSO43_lecithin2_loop0_20250624_155107_separated.jpg,separated,paraffin20_water75_ZnSO43_lecithin2
rack_1_vial_1_paraffin20_water75_ZnSO43_lecithin2_loop0_20250624_185102_separated.jpg,separated,paraffin20_water75_ZnSO43_lecithin2
rack_1_vial_1_paraffin20_water75_ZnSO43_lecithin2_loop0_20250624_235108_separated.jpg,separated,paraffin20_water75_ZnSO43_lecithin2
rack_1_vial_1_paraffin20_water75_ZnSO43_lecithin2_loop0_20250625_075102_separated.jpg,separated,paraffin20_water75_ZnSO43_lecithin2
rack_1_vial_1_paraffin_13.97_water_6.16_span80_1.643_tween80_0.227_loop0_20250815_135757_stable.jpg,stable,paraffin_13.97_water_6.16_span80_1.643_tween80_0.227
rack_1_vial_1_paraffin_13.97_water_6.16_span80_1.643_tween80_0.227_loop0_20250815_142057_separationstarted.jpg,separationstarted,paraffin_13.97_water_6.16_span80_1.643_tween80_0.227
rack_1_vial_1_paraffin_13.97_water_6.16_span80_1.643_tween80_0.227_loop0_20250815_145058_separationstarted.jpg,separationstarted,paraffin_13.97_water_6.16_span80_1.643_tween80_0.227
rack_1_vial_1_paraffin_13.97_water_6.16_span80_1.643_tween80_0.227_loop0_20250815_152058_separationstarted.jpg,separationstarted,paraffin_13.97_water_6.16_span80_1.643_tween80_0.227
rack_1_vial_1_paraffin_13.97_water_6.16_span80_1.643_tween80_0.227_loop0_20250815_155056_separationstarted.jpg,separationstarted,paraffin_13.97_water_6.16_span80_1.643_tween80_0.227
rack_1_vial_1_paraffn70_water25_CaSO43_saponin2_loop0_20250908_154657_separated.jpg,separated,paraffn70_water25_CaSO43_saponin2
rack_1_vial_1_paraffn70_water25_CaSO43_saponin2_loop0_20250908_164657_separated.jpg,separated,paraffn70_water25_CaSO43_saponin2
rack_1_vial_1_paraffn70_water25_CaSO43_saponin2_loop0_20250908_194658_separated.jpg,separated,paraffn70_water25_CaSO43_saponin2
rack_1_vial_1_paraffn70_water25_CaSO43_saponin2_loop0_20250909_004658_separated.jpg,separated,paraffn70_water25_CaSO43_saponin2
rack_1_vial_1_paraffn70_water25_CaSO43_saponin2_loop0_20250909_084657_separated.jpg,separated,paraffn70_water25_CaSO43_saponin2
rack_1_vial_1_paraffn70_water25_ZnSO43_saponin2_loop0_20250829_122057_separated.jpg,separated,paraffn70_water25_ZnSO43_saponin2
rack_1_vial_1_paraffn70_water25_ZnSO43_saponin2_loop0_20250829_150057_separated.jpg,separated,paraffn70_water25_ZnSO43_saponin2
rack_1_vial_1_paraffn70_water25_ZnSO43_saponin2_loop0_20250829_162058_separated.jpg,separated,paraffn70_water25_ZnSO43_saponin2
rack_1_vial_1_paraffn70_water25_ZnSO43_saponin2_loop0_20250829_212058_separated.jpg,separated,paraffn70_water25_ZnSO43_saponin2
rack_1_vial_1_paraffn70_water25_ZnSO43_saponin2_loop0_20250830_052059_separated.jpg,separated,paraffn70_water25_ZnSO43_saponin2
rack_1_vial_1_silicone20_water75_CaSO43_lecithin2_loop0_20250701_133106_possibleseparated.jpg,possibleseparated,silicone20_water75_CaSO43_lecithin2
rack_1_vial_1_silicone20_water75_CaSO43_lecithin2_loop0_20250701_143058_notapplicable.jpg,notapplicable,silicone20_water75_CaSO43_lecithin2
rack_1_vial_1_silicone20_water75_CaSO43_lecithin2_loop0_20250701_173104_possibleseparated.jpg,possibleseparated,silicone20_water75_CaSO43_lecithin2
rack_1_vial_1_silicone20_water75_CaSO43_lecithin2_loop0_20250701_223058_possibleseparated.jpg,possibleseparated,silicone20_water75_CaSO43_lecithin2
rack_1_vial_1_silicone20_water75_CaSO43_lecithin2_loop0_20250702_063103_possibleseparated.jpg,possibleseparated,silicone20_water75_CaSO43_lecithin2
rack_1_vial_1_silicone20_water75_ZnSO43_lecithin2_loop0_20250702_121058_notapplicable.jpg,notapplicable,silicone20_water75_ZnSO43_lecithin2
rack_1_vial_1_silicone20_water75_ZnSO43_lecithin2_loop0_20250702_131101_notapplicable.jpg,notapplicable,silicone20_water75_ZnSO43_lecithin2
rack_1_vial_1_silicone20_water75_ZnSO43_lecithin2_loop0_20250702_161101_possibleseparated.jpg,possibleseparated,silicone20_water75_ZnSO43_lecithin2
rack_1_vial_1_silicone20_water75_ZnSO43_lecithin2_loop0_20250702_211107_possibleseparated.jpg,possibleseparated,silicone20_water75_ZnSO43_lecithin2
rack_1_vial_1_silicone20_water75_ZnSO43_lecithin2_loop0_20250703_051102_possibleseparated.jpg,possibleseparated,silicone20_water75_ZnSO43_lecithin2
rack_1_vial_1_silicone70_water25_CaSO43_saponin2_loop0_20250909_112458_stable.jpg,stable,silicone70_water25_CaSO43_saponin2
rack_1_vial_1_silicone70_water25_CaSO43_saponin2_loop0_20250909_122458_stable.jpg,stable,silicone70_water25_CaSO43_saponin2
rack_1_vial_1_silicone70_water25_CaSO43_saponin2_loop0_20250909_152458_separated.jpg,separated,silicone70_water25_CaSO43_saponin2
rack_1_vial_1_silicone70_water25_CaSO43_saponin2_loop0_20250909_202457_separated.jpg,separated,silicone70_water25_CaSO43_saponin2
rack_1_vial_1_silicone70_water25_CaSO43_saponin2_loop0_20250910_042458_separated.jpg,separated,silicone70_water25_CaSO43_saponin2
rack_1_vial_1_silicone70_water25_ZnSO43_lecithin2_loop0_20250910_132057_possibleseparated.jpg,possibleseparated,silicone70_water25_ZnSO43_lecithin2
rack_1_vial_1_silicone70_water25_ZnSO43_lecithin2_loop0_20250910_142058_separated.jpg,separated,silicone70_water25_ZnSO43_lecithin2
rack_1_vial_1_silicone70_water25_ZnSO43_lecithin2_loop0_20250910_172058_separated.jpg,separated,silicone70_water25_ZnSO43_lecithin2
rack_1_vial_1_silicone70_water25_ZnSO43_lecithin2_loop0_20250910_222058_separated.jpg,separated,silicone70_water25_ZnSO43_lecithin2
rack_1_vial_1_silicone70_water25_ZnSO43_lecithin2_loop0_20250911_062058_separated.jpg,separated,silicone70_water25_ZnSO43_lecithin2
rack_1_vial_1_soybean20_water75_CaSO43_lecithin2_loop0_20250612_124303_separationstarted.jpg,separationstarted,soybean20_water75_CaSO43_lecithin2
rack_1_vial_1_soybean20_water75_CaSO43_lecithin2_loop0_20250612_134303_separated.jpg,separated,soybean20_water75_CaSO43_lecithin2
rack_1_vial_1_soybean20_water75_CaSO43_lecithin2_loop0_20250612_164304_separated.jpg,separated,soybean20_water75_CaSO43_lecithin2
rack_1_vial_1_soybean20_water75_CaSO43_lecithin2_loop0_20250612_214302_separated.jpg,separated,soybean20_water75_CaSO43_lecithin2
rack_1_vial_1_soybean20_water75_CaSO43_lecithin2_loop0_20250613_054307_separated.jpg,separated,soybean20_water75_CaSO43_lecithin2
rack_1_vial_1_soybean20_water75_ZnSO41_Lecithin1_loop0_20250610_113758_separationstarted.jpg,separationstarted,soybean20_water75_ZnSO41_Lecithin1
rack_1_vial_1_soybean20_water75_ZnSO41_Lecithin1_loop0_20250610_123800_separated.jpg,separated,soybean20_water75_ZnSO41_Lecithin1
rack_1_vial_1_soybean20_water75_ZnSO41_Lecithin1_loop0_20250610_153759_separated.jpg,separated,soybean20_water75_ZnSO41_Lecithin1
rack_1_vial_1_soybean20_water75_ZnSO41_Lecithin1_loop0_20250610_203800_separated.jpg,separated,soybean20_water75_ZnSO41_Lecithin1
